"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"ENSMUSG00000018425",989.057634132667,-0.0344783635062044,0.139504581525262,-0.247148610670975,0.804793214459209,0.932232885907059,"Dhx40"
"ENSMUSG00000013989",1.93818071145599,0.354039106187473,1.43250810008871,0.247146320614556,0.804794986699002,NA,"D430018E03Rik"
"ENSMUSG00000090933",1.54526746411591,0.362898571302237,1.46848615115193,0.247124272174829,0.80481204970211,NA,"Gm17703"
"ENSMUSG00000036430",128.798020662007,-0.0512383027799653,0.207374242534938,-0.247081325788726,0.804845285623268,0.932232885907059,"Tbcc"
"ENSMUSG00000036339",557.610171454335,0.0402864694157656,0.163076075708554,0.247040954601855,0.804876528936541,0.932232885907059,"6720456H20Rik"
"ENSMUSG00000043510",58.4435910631449,0.0676490469050919,0.274102082041981,0.246802382532544,0.805061166526763,0.932306793053528,"Hscb"
"ENSMUSG00000059820",178.38175846368,-0.043936116197316,0.178046687601376,-0.246767388875458,0.805088250010242,0.932306793053528,"AU019823"
"ENSMUSG00000035671",178.097646407355,-0.050137248381216,0.203230550863835,-0.246701335838075,0.805139372664991,0.932306793053528,"Zswim4"
"ENSMUSG00000043223",56.8471061373066,0.0697237504678466,0.282660420704783,0.246669662112573,0.805163887275038,0.932306793053528,"Gm4835"
"ENSMUSG00000055717",2.44958242119609,-0.315844540847419,1.28052377355253,-0.24665261775748,0.805177079225864,NA,"Slain1"
"ENSMUSG00000057335",159.210981615966,-0.0602961649343083,0.244514263508178,-0.246595695765174,0.805221135980656,0.932308369685543,"Cep170"
"ENSMUSG00000042203",90.9031788276931,0.0604497903045248,0.245246191147564,0.246486153451216,0.805305921802754,0.932328374224069,"Tbc1d22b"
"ENSMUSG00000038523",1.16574446583446,0.406857249415016,1.65123581229986,0.246395606481148,0.805376006944648,NA,"1700003F12Rik"
"ENSMUSG00000083936",1.16574446583446,0.406857249415016,1.65123581229986,0.246395606481148,0.805376006944648,NA,"Gm14829"
"ENSMUSG00000085040",1.16574446583446,0.406857249415016,1.65123581229986,0.246395606481148,0.805376006944648,NA,"A230028O05Rik"
"ENSMUSG00000027297",1.1655308662939,-0.406782007865409,1.65097798110513,-0.246388511852301,0.805381498393463,NA,"Ltk"
"ENSMUSG00000078141",1.1655308662939,-0.406782007865409,1.65097798110513,-0.246388511852301,0.805381498393463,NA,"Gm2399"
"ENSMUSG00000088119",1.1655308662939,-0.406782007865409,1.65097798110513,-0.246388511852301,0.805381498393463,NA,""
"ENSMUSG00000026988",94.7937228349984,0.0573359631048599,0.232766719558325,0.24632371506397,0.805431653434032,0.932328374224069,"Wdsub1"
"ENSMUSG00000078525",199.957976634098,-0.0452970625558876,0.183923866049889,-0.24628159209964,0.805464258550133,0.932328374224069,"Gm5776"
"ENSMUSG00000000134",515.993795472869,0.0369880312029256,0.150240659093025,0.246191885913012,0.805533696400844,0.932328374224069,"Tfe3"
"ENSMUSG00000028409",1085.77483517302,0.0384961231223538,0.156367390273512,0.246190225820216,0.805534981424505,0.932328374224069,"Smu1"
"ENSMUSG00000038060",5.95490937692717,-0.191474257140407,0.777907451217445,-0.246140150529147,0.805573743320089,0.932328374224069,"Dlec1"
"ENSMUSG00000084424",1.15413049252584,0.426405605622395,1.73372311220414,0.245947927106014,0.805722542583032,NA,""
"ENSMUSG00000062896",151.724929232553,0.0499681345292828,0.203287682212264,0.245800109409031,0.80583697236391,0.93256832278701,"Gm9154"
"ENSMUSG00000039623",181.761965657635,0.0460274875296097,0.187354804692166,0.245670174326383,0.805937562150565,0.932586889590159,"C330006K01Rik"
"ENSMUSG00000090704",1.89032669560857,0.354231973292772,1.44233926090418,0.245595459330913,0.805995404530354,NA,"Trp53-ps"
"ENSMUSG00000010054",557.243456031867,0.0350746483155253,0.14282089712576,0.24558484802571,0.80600361960918,0.932586889590159,"Tusc2"
"ENSMUSG00000026932",615.891982781739,-0.0369783110432801,0.150585994848933,-0.24556275024365,0.806020727377468,0.932586889590159,"Nacc2"
"ENSMUSG00000036211",0.823915485104893,0.519259842787415,2.11552993435497,0.245451427727369,0.806106912995703,NA,"Hist1h1t"
"ENSMUSG00000087671",0.823915485104893,0.519259842787415,2.11552993435497,0.245451427727369,0.806106912995703,NA,"A330048O09Rik"
"ENSMUSG00000042796",1.53365349080728,0.38298298362138,1.5605010612201,0.245423084379026,0.806128856722429,NA,"Olfr1032"
"ENSMUSG00000084090",1.53365349080728,0.38298298362138,1.5605010612201,0.245423084379026,0.806128856722429,NA,"Gm11245"
"ENSMUSG00000048365",91.6566479007536,-0.0605961751530005,0.246916226469926,-0.245411879240675,0.806137531903788,0.932657348444344,"Gm9825"
"ENSMUSG00000025747",126.734326286546,0.0508022306108488,0.207196306337151,0.245188881543975,0.806310184929673,0.932708658054852,"Tyms"
"ENSMUSG00000038578",162.761897012964,0.0628777943574252,0.256496131524338,0.245141297000259,0.806347027857539,0.932708658054852,"Susd1"
"ENSMUSG00000087060",1.43265266092285,-0.385993387540534,1.57500712401413,-0.245074058177448,0.806399089089394,NA,"2810442I21Rik"
"ENSMUSG00000021631",31.1120086381037,0.087524737416023,0.35720228842457,0.24502849016463,0.806434371677267,0.932708658054852,"Mrps36-ps1"
"ENSMUSG00000034382",527.450248690359,0.0426691623524317,0.174154143055187,0.245008023374502,0.806450218915688,0.932708658054852,"AI661453"
"ENSMUSG00000045326",2.94918807233521,-0.296417528330314,1.20994417383431,-0.244984466837811,0.806468458613473,NA,"Fndc7"
"ENSMUSG00000021379",30.4089874685386,-0.113608358674005,0.463817793386635,-0.244941785964002,0.806501506449234,0.932708658054852,"Id4"
"ENSMUSG00000024866",1034.75247286301,-0.0318331044938364,0.129980348526454,-0.244907055987449,0.806528398153648,0.932708658054852,"Acy3"
"ENSMUSG00000090582",2.28575711850031,-0.322521640791596,1.31711591338473,-0.244869595389504,0.806557404456914,NA,"Gm17024"
"ENSMUSG00000007837",517.415872864278,-0.0339800651703603,0.13877960891216,-0.244849120391078,0.806573258667983,0.932708658054852,"Prrg2"
"ENSMUSG00000091169",0.879073508980496,-0.510249609903672,2.08519198898475,-0.244701501156307,0.806687565619906,NA,"Gm17493"
"ENSMUSG00000015943",272.025767744685,0.0479254297677128,0.195865828721128,0.244684997279176,0.806700345429949,0.932765445108421,"Bola1"
"ENSMUSG00000081010",80.5807679331431,0.0612099849857373,0.250204751115999,0.244639579035649,0.806735515403476,0.932765445108421,"Gm13880"
"ENSMUSG00000003824",104.632018385221,-0.054546606537228,0.223076009298002,-0.244520272300373,0.806827903372141,0.932765445108421,"Syce2"
"ENSMUSG00000079558",6.28289728332511,-0.185231345559789,0.757861733994852,-0.244413112908333,0.806910887058309,0.932765445108421,"Gm6981"
"ENSMUSG00000078281",20.9698387886572,0.116282727116327,0.475826987247815,0.244380268947977,0.806936321688756,0.932765445108421,"Gm6134"
"ENSMUSG00000033916",1441.57079275289,0.0308279049904848,0.126161628520515,0.244352465579279,0.806957853003521,0.932765445108421,"Chmp2a"
"ENSMUSG00000044145",28.4021678106401,0.0925661145241283,0.379027371104153,0.244220131792783,0.80706033612999,0.932767324058173,"1810024B03Rik"
"ENSMUSG00000039339",9.07860832083765,-0.16392915659519,0.671340884563018,-0.244181697204235,0.807090101612038,0.932767324058173,"2010001E11Rik"
"ENSMUSG00000029392",50.8271558821998,-0.0724260519347838,0.29670358512699,-0.244102382193276,0.807151527623406,0.932767324058173,"Rilpl1"
